2025-01-25 05:20:54 - Debugger session started.
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:54 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 05:20:55 - 
Resonance: 0 | Inflow: 0 | Outflow: 0 | Overflow: 0
- C3 | Intensity: 32

False | False | False | False
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - add success True - 16461743
2025-01-25 05:20:55 - Midi Index: 69 | Intensity: 0 | Note Name: A4
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
2025-01-25 05:20:55 - Resonance: 0 | NetInflow: 0 | NetOutflow: 0 | NetOverflow: 0 | State: Static
